tileswide 40
tileshigh 20
tilewidth 16
tileheight 16

layer 0
-1,-1,-1,225,2,2,2,226,-1,225,2,2,2,2,226,225,166,2,2,2,2,2,2,166,226,225,2,2,2,2,226,225,2,2,2,2,226,-1,-1,-1,
225,2,2,261,34,34,34,291,227,261,34,34,34,34,262,261,199,34,34,34,34,34,34,199,262,261,34,34,34,34,262,261,34,34,34,34,262,227,3,226,
257,34,34,34,130,130,130,34,34,34,130,130,130,130,34,34,231,130,130,130,130,130,130,231,34,34,130,130,130,130,34,34,130,130,130,130,34,34,34,258,
257,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,258,
257,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,258,
257,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,258,
257,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,258,
9,19,19,19,11,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,12,19,19,19,8,
-1,-1,-1,-1,257,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,258,-1,-1,-1,-1,
-1,-1,-1,-1,257,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,258,-1,-1,-1,-1,
-1,-1,-1,-1,257,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,258,-1,-1,-1,-1,
-1,-1,-1,-1,257,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,258,-1,-1,-1,-1,
225,2,227,227,261,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,262,227,227,227,226,
257,34,34,34,34,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,164,162,130,130,130,130,130,34,34,34,34,258,
257,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,194,195,130,130,130,130,130,130,130,130,130,258,
257,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,258,
257,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,258,
257,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,258,
257,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,258,
9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,8,

